Source,Benchmark,Data Size,Sequential,Spark Gen,Spark Gen Speedup,Max Speedup,Spark Manual,Spark Manual Speedup,,,,
Stats,Multiply (Vector*Vector),12GB + 12GB = 25GB,0:21:33,0:01:50,11.75,14.52,0:01:59,10.86,,,,
,,,0:21:19,0:01:42,12.54,,0:01:46,12.07,,,,
,,25GB + 25GB = 50GB,0:44:28,0:03:20,13.34,,0:04:03,10.98,,,,
,,,0:44:55,0:04:05,11,,0:03:27,13.02,,,,
,,37GB + 37GB = 75GB,1:06:22,0:04:44,14.02,,0:04:29,14.8,,,,
,,,1:05:49,0:04:32,14.52,,0:04:30,14.63,,,,
,Covariance 1,12GB + 12GB = 25GB,0:13:34,0:01:06,12.33,15.6,0:01:08,11.97,,,,
,,,0:13:38,0:01:12,11.36,,0:01:10,11.69,,,,
,,25GB + 25GB = 50GB,0:27:48,0:02:00,13.9,,0:02:02,13.67,,,,
,,,0:28:16,0:02:08,13.25,,0:02:05,13.57,,,,
,,37GB + 37GB = 75GB,0:41:52,0:02:41,15.6,,0:02:44,15.31,,,,
,,,0:41:33,0:02:50,14.67,,0:02:46,15.02,,,,
,Covariance 2,12GB + 12GB = 25GB,0:13:34,0:01:06,12.33,15.6,0:01:08,11.97,,,,
,,,0:13:38,0:01:12,11.36,,0:01:10,11.69,,,,
,,25GB + 25GB = 50GB,0:27:48,0:02:00,13.9,,0:02:02,13.67,,,,
,,,0:28:16,0:02:08,13.25,,0:02:05,13.57,,,,
,,37GB + 37GB = 75GB,0:41:52,0:02:41,15.6,,0:02:44,15.31,,,,
,,,0:41:33,0:02:50,14.67,,0:02:46,15.02,,,,
,Residuals,12GB + 12GB = 25GB,0:18:53,0:01:39,11.44,13.78,0:01:47,10.59,,,,
,,,0:18:56,0:01:40,11.36,,0:01:39,11.48,,,,
,,25GB + 25GB = 50GB,0:39:16,0:03:38,10.81,,0:03:42,10.61,,,,
,,,0:39:16,0:03:00,13.09,,0:03:22,11.66,,,,
,,37GB + 37GB = 75GB,0:58:33,0:04:15,13.78,,0:04:10,14.05,,,,
,,,0:57:54,0:04:18,13.46,,0:04:29,12.91,,,,
,Standard Error,12GB + 12GB = 25GB,0:13:36,0:01:11,11.49,15.52,0:01:14,11.02,,,,
,,,0:13:32,0:01:14,10.98,,0:01:15,10.83,,,,
,,25GB + 25GB = 50GB,0:28:30,0:01:55,14.87,,0:01:57,14.61,,,,
,,,0:28:22,0:01:58,14.42,,0:02:00,14.18,,,,
,,37GB + 37GB = 75GB,0:41:59,0:02:49,14.9,,0:02:47,15.08,,,,
,,,0:41:24,0:02:40,15.52,,0:02:46,14.96,,,,
,Standard Error 2,12GB + 12GB = 25GB,0:13:36,0:01:11,11.49,15.52,0:01:14,11.02,,,,
,,,0:13:32,0:01:14,10.98,,0:01:15,10.83,,,,
,,25GB + 25GB = 50GB,0:28:30,0:01:55,14.87,,0:01:57,14.61,,,,
,,,0:28:22,0:01:58,14.42,,0:02:00,14.18,,,,
,,37GB + 37GB = 75GB,0:41:59,0:02:49,14.9,,0:02:47,15.08,,,,
,,,0:41:24,0:02:40,15.52,,0:02:46,14.96,,,,
,Multiply (Vector*Scalar),25GB,0:51:39,0:02:20,22.13,28.89,0:02:10,23.84,,,,
,,,0:51:40,0:02:01,25.62,,0:02:44,18.9,,,,
,,50GB,1:43:16,0:03:45,27.54,,0:03:51,26.82,,,,
,,,1:43:24,0:03:43,27.82,,0:03:58,26.07,,,,
,,75GB,2:35:02,0:05:22,28.89,,0:05:46,26.88,,,,
